title,author,publisher,year,status,description,jury_rationale
Nie mehr Nacht,Mirko Bonné,Schöffling & Co.,2013,Shortlist,"Markus Lee reist in die Normandie, um für ein Kunstmagazin Brücken zu zeichnen, die bei der Landung der Alliierten im Sommer 1944 eine entscheidende Rolle spielten. Lee nimmt seinen fünfzehnjährigen Neffen Jesse mit, dessen bester Freund mit seiner Familie ein verlassenes Strandhotel hütet. Überschattet wird die Reise von der Trauer um Jesses Mutter Ira, deren Suizid der Bruder und der Sohn jeder für sich verwinden müssen. In der verwunschenen Atmosphäre des Hotels L’Angleterre entwickelt sich der geplante Kurzaufenthalt zu einer monatelangen Auszeit, die nicht nur für Markus Lee einen Wendepunkt im Leben markiert.","Diesen Roman von Mirko Bonné umgibt eine fast schon entrückte Atmosphäre, er mäandert zwischen der Welt der Lebenden und der Toten, zwischen Vergangenheit und Gegenwart, zwischen privater Trauer und der Frage, wie der Tod von tausenden Soldaten in der Normandie in ein fassbares Bild gefügt werden kann. Mit poetischer Kraft aber ohne erzählerisch aufzutrumpfen, verwebt Bonné eine realistisch gezeichnete Welt mit todessehnsüchtiger Verträumtheit. „Nie mehr Nacht“ ist der Glücksfall eines Romans, der schwebend leicht historische und persönliche Düsternis miteinander verbindet."
Kruso,Lutz Seiler,Suhrkamp Verlag,2014,Winner,"Als das Unglück geschieht, flieht Edgar Bendler aus seinem Leben. Er wird Abwäscher auf Hiddensee, jener legendenumwogten Insel, die, wie es heißt, schon außerhalb der Zeit liegt. Im Abwasch des Klausners, einer Kneipe hoch über dem Meer, lernt Ed Alexander Krusowitsch kennen – Kruso. Eine schwierige, zärtliche Freundschaft beginnt. Von Kruso, dem Meister und Inselpaten, wird Ed eingeweiht in die Rituale der Saisonarbeiter und die Gesetze ihrer Nächte, in denen Ed seine sexuelle Initiation erlebt. Doch der Herbst 89 erschüttert die Insel. Am Ende steht ein Kampf auf Leben und Tod – und ein Versprechen.","Lutz Seiler beschreibt in ""Kruso"" in unglaublich dichter und eleganter Sprache den Sommer des Jahres 1989 auf der Insel Hiddensee. Der 24-jährige Germanistikstudent Ed aus Halle landet auf der ""Insel der Aussteiger"", heuert in einem Ausflugslokal an und begegnet dort Alexander Krusowitsch, Kruso. Diese sich entwickelnde vielschichtige Freundschaft wird durch das Verschwinden Krusos jäh unterbrochen. Neben dem sich im Hintergrund abzeichnenden Ende der DDR und den vielen originellen Episoden der Inselbewohner schafft Seiler den Ostsee-Flüchtlingen ein literarisches Denkmal. Ein kluger, melancholischer und dabei höchst vergnüglicher Roman, der bleiben wird."
3000 Euro,Thomas Melle,Rowohlt Berlin,2014,Shortlist,"Denise kommt mehr schlecht als recht mit ihrem Leben klar. Sie arbeitet im Discounter, ihre kleine Tochter Linda überfordert sie oft; die langersehnte New-York-Reise bleibt ein Traum. Mit dem Lohn für einen Pornodreh will sie endlich weiterkommen, aber man lässt sie auf ihr Geld warten. Immer öfter steht Anton an ihrer Kasse, der abgestürzte, verschuldete Ex-Jurastudent, der im Wohnheim schläft. Vorsichtig kommen sich die beiden näher. Doch während für Anton ein Gerichtstermin um 3000 Euro naht, müssen sie sich fragen, wie viel Nähe ihr Leben wirklich zulässt.","So rasant wie zärtlich erzählt Thomas Melle eine Liebesgeschichte in der Großstadt. Der hoch verschuldete Anton und die Kassiererin Denise suchen eine Ausweg aus ihrem verlorenen Dasein und versuchen Nähe. „3000 Euro“ ist ein Roman über Figuren, die jeder mal gesehen hat, die aber kaum einer kennt. Hier ist dank strenger Konstruktion und virtuoser Rhythmisierung ein neuer Ton der poetischen Sachlichkeit gewonnen: kräftig, träumerisch, empört und gelassen zugleich."
April,Angelika Klüssendorf,Kiepenheuer & Witsch,2014,Shortlist,"Die Kindheit ist vorüber, aber erlöst ist das Mädchen deshalb noch lange nicht. Das Mädchen, das sich mittlerweile April nennt – nach dem Song von Deep Purple –, hat die Zeit im Heim hinter sich, die Ausbildung abgebrochen und eine Arbeit als Bürohilfskraft zugewiesen bekommen. Zwischen alten Freunden und neuen Bekannten versucht sie sich im Leipzig der späten 70er-Jahre zurechtzufinden, stößt dabei oft an ihre eigenen Grenzen und überschreitet lustvoll alle, die ihr gesetzt werden, am Ende mit ihrer Ausreise auch die zwischen den beiden Deutschlands.","Endlich geht es weiter mit dem Mädchen, das sich nun (nach einem deep purple Song) April nennt. Es sind die späten 70er Jahre in Leipzig und die frühen 80er in West-Berlin, die April zwischen VEB-Kombinat, Psychiatrie, Ausreise und dem Leben selbst taumeln lässt, immer zwischen zartem Glück und totalem Versagen, getrieben aus trostloser Kindheitsvergangenheit in eine ungewisse Zukunft. Angelika Klüssendorf versteht es prächtig uns in Aprils Sog zu ziehen. Lebensprall und traurig, nüchtern und klar, unsentimental und präzise, mit großer Lakonie: ein Meisterwerk - knapp 25 Jahre nach der Wende."
Der Allesforscher,Heinrich Steinfest,Piper Verlag,2014,Shortlist,"Sixten Brauns vollkommen normales Managerleben implodiert, als in Taiwan ein Wal explodiert und Sixten von einem Teil des Wal-Innenlebens k.o. geschlagen wird. Kaum aus dem Krankenhaus entlassen, stürzt er mit dem nächstbesten Flugzeug ab – und überlebt abermals. Doch nicht ohne zwischendurch die große Liebe erlebt zu haben. Und so kommt er Jahre später zu einem Kind, das nicht sein eigenes sein kann, es dann aber plötzlich doch ist: ein frisch verwaister Junge namens Simon, der nur in seiner eigenen, erfundenen Sprache spricht. Schließlich liegt es an ihm, dass sich so manche Gerade in Sixtens Leben zum Kreis schließt.","Ein geistreicher, von bizarren, urkomischen Ideen sprühender Roman, der mit stilistischer Eleganz unsere globale Gesellschaft abbildet. Wir erleben einen Mann, der sich und sein Leben immer wieder neu erfindet. Ein moderner Münchhausen. Wir reisen mit ihm rund um die Welt, bis er in Stuttgart als Bademeister landet. „Der Allesforscher“ interessiert sich vom Phänomen des Wimpernschlags bis zum Überleben auf See für nahezu alles – und wird mit Tiefe, Temperament und berückender Leichtigkeit beschrieben."
Panischer Frühling,Gertrud Leutenegger,Suhrkamp Verlag,2014,Shortlist,"Ein Vulkanausbruch auf Island legt den europäischen Luftverkehr lahm, Zehntausende Menschen stranden an den Flughäfen. Während die Bilder der Aschewolke um die Welt gehen, steht über der Themse ein strahlend blauer Frühlingshimmel. Auf der London Bridge begegnet die Erzählerin einem jungen Mann mit einem Feuermal im Gesicht. Jonathan verkauft die Obdachlosenzeitung. Die beiden sind einander eigenartig vertraut. Allmählich gehen die vergessenen Geheimnisse des einen in den anderen über. Dann aber verschwindet Jonathan plötzlich und die Erzählerin macht sich auf die Suche: nach Jonathan und nach sich selbst.","Ein strahlender Frühling liegt über London. Auf einer Themsebrücke begegnet die Erzählerin von Gertrud Leuteneggers Roman ""Panischer Frühling"" einem jungen Zeitungsverkäufer mit einem Feuermal im Gesicht. Die beiden so unterschiedlichen Menschen treffen sich nun täglich, vertrauen einander ihre Geschichten an, auch ihre Geheimnisse. - Ein schwebendes und tiefsinniges Buch, Großstadtroman und Kammerspiel in einem, getragen von einer so exakten wie musikalischen Sprache."
Pfaueninsel,Thomas Hettche,Kiepenheuer & Witsch,2014,Shortlist,"Die Pfaueninsel in der Havel ist ein künstliches Paradies. Der Roman beginnt wie ein Märchen: mit einer Königin, die einen Zwerg trifft und sich fürchterlich erschrickt. Am Beispiel der kleinwüchsigen Marie, die zwischen den Befreiungskriegen und der Restauration, zwischen Palmenhaus und Menagerie, Gartenkunst und philosophischen Gesprächen aufwächst und der königlichen Familie bei deren Besuchen zur Hand geht, erzählt Thomas Hettche von der Zurichtung der Natur, der Würde des Menschen, dem Wesen der Zeit und der Empfindsamkeit der Seele und des Leibes.","Seit seinem Debüt „Ludwig muß sterben“ von 1989 als Avantgardist gerühmt, erweist sich Thomas Hettche mit seinem Roman „Pfaueninsel“ erneut als einer der elegantesten und raffiniertesten Stilisten der deutschsprachigen Gegenwartsliteratur. Wie Maria Dorothea Strakon, das historisch überlieferte preußische Schlossfräulein der Pfaueninsel bei Berlin, mit Lust seine Festtagsgewänder anlegte, so schlüpft Hettche in ein vollendetes Sprachkleid aus dem 19. Jahrhundert. Anhand der anrührenden Lebensgeschichte der kleinwüchsigen Marie lässt er ein ganzes Jahrhundert vom ausklingenden Rokoko bis zur Erfindung der Eisenbahn, von Hegel über Darwin bis Lenné, Revue passieren. Botanik und Sentiment, Theorie und Sinnlichkeit gehen in „Pfaueninsel“ eine Verbindung ein, die auf unerwartete Weise das Heute spiegelt und die Leserin, den Leser einer literarischen Osmose sondergleichen unterzieht."
Die Erfindung der Roten Armee Fraktion durch einen manisch-depressiven Teenager im Sommer 1969,Frank Witzel,Matthes und Seitz Berlin,2015,Winner,"Gudrun Ensslin eine Indianersquaw aus braunem Plastik und Andreas Baader ein Ritter in schwarzglänzender Rüstung - die Welt des kindlichen Erzählers, der den Kosmos der alten BRD wiederauferstehen lässt, ist nicht minder real als die politischen Ereignisse, die jene Jahre in Atem halten und auf die sich der 13-Jährige seinen ganz eigenen Reim macht. Erinnerungen an das Nachkriegsdeutschland, Ahnungen vom Deutschen Herbst und Betrachtungen der aktuellen Gegenwart entrücken ihn dabei immer weiter seiner Umwelt. Es entsteht ein Kaleidoskop aus Stimmungen einer Welt, die ebenso wie die DDR 1989 Geschichte wurde.","Frank Witzels Roman ist so anmaßend und ausschweifend wie sein Titel: 800 Seiten über einen 13jährigen psychisch labilen Erzähler, der im Wiesbadener Vorort Biebrich seine Jugendgang mit der sich formierenden RAF identifiziert. Während Baader, Ensslin & Co. mit Waffengewalt die BRD ändern wollen, überfallen der Ich-Erzähler und seine Freunde wenigstens einen Spielzeugladen. Erzählung, Essay, Dialog, Interview, Fragment: Die vielfältigsten Formen dekliniert dieser gewaltige Hybrid durch, der nicht nur die Ikonografie der RAF auf groteske Weise dekonstruiert, sondern auch eine Mentalitätsgeschichte der prosperierenden BRD unter besonderer Berücksichtigung der Gegenpopkultur liefert. Antworten auf die Frage, was Wahn ist und was Wirklichkeit, was Faktum und was Fiktion, darf man von diesem aberwitzigen Text, der sich mit Lust dem spekulativen Denken hingibt, nicht erwarten."
Das bessere Leben,Ulrich Peltzer,S. Fischer Verlag,2015,Shortlist,"Jochen Brockmann ist erfolgreicher Sales Manager, doch er verstrickt sich in ein abstürzendes System. Die Bank gibt keinen Kredit mehr, Indonesien investiert nicht, es bieten sich die Chinesen an. Sylvester Lee Fleming ist ein skrupelloser Geschäftemacher, Finanz-Investor und Risiko-Berater. Er erscheint als Retter, Verführer und Versucher. Wer im 20. Jahrhundert jung war, hat von einer anderen Gesellschaft geträumt. Diese politischen Utopien sind in Terror umgeschlagen, aus ehemaligen Revolutionären sind Manager geworden, Akteure der Wirtschaft. Ein metaphysischer Thriller über das 21. Jahrhundert und die Gespenster der Vergangenheit.","Der Roman zeichnet ein facettenreiches Gegenwartsbild, mit Schauplätzen rund um den Globus. Die Handlung entwickelt gleichsam Tentakel in alle Himmelsrichtungen, Zeitebenen und gesellschaftliche Zusammenhänge. Von einstigen utopischen Hoffnungen ist nur die Machbarkeit geblieben: welcher Deal geht noch? Ulrich Peltzer lässt den Leser in oft mündlich verknappter, aber immer hochliterarischer Sprache, auch mit inneren Monologen, die an Joyce erinnern, am Dasein der Protagonisten teilhaben. Die Frage nach dem besseren Leben erwächst aus der Unruhe dieser Global Players, die die Fäden nur vermeintlich in der Hand haben. Ein Werk von enormer Wucht und Relevanz."
Eins im Andern,Monique Schwitter,Droschl Literaturverlag,2015,Shortlist,"Eines Abends erfährt sie, als sie, statt zu schreiben, nach ihrer ersten Liebe googelt, dass er sich aus dem achten Stock gestürzt hat. Vor fast fünf Jahren schon. Sie ist schockiert, ebenso sehr über seinen Selbstmord wie über die Tatsache, dass sie ihn gar nicht vermisst hat. Sie beginnt eine Liebesrecherche: Sie handelt ihre Liebesbiographie an zwölf Männern ab, die weit mehr als die Namen gemein haben mit den Aposteln, den Gesandten des Glaubens und der Liebe. Und je länger sie schreibt, desto stärker schiebt sich die Rahmengeschichte, ihre aktuelle Liebessituation, ins Zentrum, bis sie die Handlung übernimmt.","„Eins im Andern“ der Schweizer Autorin Monique Schwitter ist ein zeitgenössischer Liebesreigen und Totentanz zugleich. Formal komplex, motivisch anspielungsreich – nicht zuletzt mit Anleihen bei der christlichen Ikonografie – verhandelt der Episoden-Roman die grundlegenden Themen der Literatur: Liebe und Tod, Treue und Verrat. Die entscheidende Frage, die er umkreist, lautet: Wie verhält sich eins zum anderen – die Liebe zum Tod, der Tod zur Liebe? Vor allem aber: Was vermag die Schrift, die Literatur angesichts des Todes? „Eins im Anderen“ ist insofern auch ein meta-fiktionaler Roman, der trotz gewichtigem Gepäck als gekonnt leichtfüßiges Spiel des Weges kommt."
"Gehen, ging, gegangen",Jenny Erpenbeck,Knaus Verlag,2015,Shortlist,"Wie erträgt man das Vergehen der Zeit, wenn man zur Untätigkeit gezwungen ist? Wie geht man um mit dem Verlust derer, die man geliebt hat? Wer trägt das Erbe weiter? Richard, emeritierter Professor, kommt durch die zufällige Begegnung mit den Asylsuchenden auf dem Oranienplatz auf die Idee, die Antworten auf seine Fragen dort zu suchen, wo sonst niemand sie sucht: bei jenen jungen Flüchtlingen aus Afrika, die in Berlin gestrandet und seit Jahren zum Warten verurteilt sind. Und plötzlich schaut diese Welt ihn an, den Bewohner des alten Europas, und weiß womöglich besser als er selbst, wer er eigentlich ist.","Jenny Erpenbeck wendet sich mit “Gehen, ging, gegangen” einem höchst aktuellen Thema – dem Umgang mit Flüchtlingen – in literarisch so kluger wie berührender Weise zu: Die eher zufällige Begegnung mit Flüchtlingen aus Afrika in Berlin konfrontiert einen emeritierten Professor für Literaturgeschichte mit den Problemen dieser Menschen. In Interviews mit ihnen taucht er immer tiefer ein in das, was unter der Oberfläche verborgen bleibt: die bürokratische Unmenschlichkeit, das schreckliche Warten. Jenny Erpenbeck macht so die Stimmen der Anderen hörbar. Zugleich verknüpft sie die Gegenwart mit der Vergangenheit und verdeutlicht, dass die Figur des Flüchtlings immer schon Teil auch unserer (abendländischen) Geschichte ist."
Wie Ihr wollt,Inger-Maria Mahlke,Berlin Verlag,2015,Shortlist,"August 1571: Elisabeth I. herrscht in England, und Mary Grey, ihre Cousine, ist wütend. Sie ist sechsundzwanzig, kleinwüchsig und hat einen Thronanspruch. Mary Grey will frei sein, einen eigenen Haushalt und das Sorgerecht für ihre Stiefkinder. Nichts von alledem bekommt sie, und anstatt das still hinzunehmen, begehrt sie auf. Sie beschließt, einen Bericht zu schreiben - eine Abrechnung mit dem Königshof. Dabei stellt sie fest, dass ihr Handeln und das ihrer Familie ebenso willkürlich und unfrei war wie das aller anderen. Und dass es erste Anzeichen gibt, wieder in Gnade aufgenommen zu werden.","Inger-Maria Mahlkes ""Wie Ihr wollt"" ist ein historischer Roman und bitter-komische Dekonstruktion des Genres historischer Roman. Weltgeschichte im toten Winkel eines Kammerspiels, geschildert aus der Perspektive einer kleinwüchsigen Herrscherin im Wartestand. Indem Mahlke eine Machtlose, gefangen im Kerker ihres Körpers, zur Protagonistin macht, gelingt ihr ein fulminantes Stück weiblicher Gegengeschichtsschreibung und radikale Gegenwartskritik im Tudor-Gewand."
Über den Winter,Rolf Lappert,Carl Hanser Verlag,2015,Shortlist,"Lennard Salm ist in allem halbwegs erfolgreich, aber doch fremd im eigenen Leben. Als seine ältere Schwester stirbt, reist er zurück nach Hamburg, wo seine Familie lebt. So schnell wie möglich will er wieder zurück in sein eigenes Leben. Aber was ist das, das eigene Leben? Salms jüngere Schwester Bille verliert ihren Job, sein Vater nähert sich immer schneller der Hilflosigkeit. Salm wird gebraucht, und auch er selbst braucht Rat. „Über den Winter“ zieht unaufhaltsam hinein in das Denken und Fühlen eines Menschen in der Mitte des Lebens, unterwegs durch die Stadt seiner Kindheit.","Lennard Salm ist fünfzig, Konzeptkünstler mit Atelier in New York. Als er bei der Suche nach Material für seine Installationen zwischen Strandgut eine Babyleiche findet, die ganz offenbar von einem untergegangenen Flüchtlingsboot stammt, stellt er zum ersten Mal den Sinn seiner Arbeit grundlegend infrage. Kurz darauf erreicht ihn die Nachricht vom Tod seiner Schwester, und so kehrt er zurück zu seiner Familie. Doch aus dem geplanten Kurzbesuch wird eine biographische Neuorientierung. Rolf Lappert ist ein glänzender Stilist und zugleich ein Seismograph der Gegenwart: Sein bildmächtiger Familien- und Gesellschaftsroman zeichnet verschiedenste Formen von zunehmender Vereinzelung in der Massengesellschaft nach und zeigt auf, dass Leben nicht ohne Verantwortung, ohne Bindung, ohne ein Sich-Einlassen zu haben ist."
Widerfahrnis,Bodo Kirchhoff,Frankfurter Verlagsanstalt,2016,Winner,"Reither, bis vor kurzem Verleger in einer Großstadt, lebt nun in einem idyllischen Tal am Alpenrand. Von dort beginnt eine unerwartete Reise bis nach Sizilien. Die, die ihn an die Hand nimmt, ist Leonie Palm, zuletzt Besitzerin eines Hutgeschäfts; sie hat ihren Laden geschlossen, weil es an Hutgesichtern fehlt, und er seinen Verlag dichtgemacht, weil es zunehmend mehr Schreibende als Lesende gibt. Als dann nach drei Tagen im Auto am Mittelmeer das Glück über sie hereinbricht, schließt sich ihnen ein Mädchen an, das kein Wort redet.","„Boy meets girl“, das geht auch im vorgerückten Alter. Alles ist möglich, sogar die große späte Liebe, als der Ex-Verleger Reither und die Ex-Hutladenbesitzerin Palm mitten in der Nacht, in der sie sich zum ersten Mal begegnet sind, spontan ein Auto besteigen und nach Süden aufbrechen. Ein Moment der Wahrheit für zwei Menschen, die aus Klugheit und Erfahrung radikal genug sind, alles zu wagen. Bodo Kirchhoff ist ein großer Erzähler, dessen Präzision die Phantasie des Lesers stimuliert statt zu sättigen. Ihm gelingt in diesem sprachlich virtuosen, menschlich berührenden und dabei unprätentiösen Prosawerk die ganz unwahrscheinliche aber literarisch zwingende Verbindung einer melancholischen Liebesgeschichte mit der gar nicht romantischen europäischen Realität der Jetztzeit. Ein makelloses Buch."
Die Welt im Rücken,Thomas Melle,Rowohlt Berlin,2016,Shortlist,"Thomas Melle leidet seit vielen Jahren an einer manischen Depression, auch bipolare Störung genannt. Nun erzählt er davon, erzählt von persönlichen Dramen und langsamer Besserung, und gibt einen außergewöhnlichen Einblick in das, was in einem Erkrankten vorgeht.","Dieses Buch erzählt von der verwundbaren Conditio Humana in unseren Zeiten. Dieses Buch tut weh, es erschüttert und es ist manchmal irrsinnig komisch. Thomas Melle berichtet von der Krankheit seiner seelischen Störung. Mit irrlichternder Präzision beschreibt er sein im Neuronenfeuerwerk verrücktes Selbst. Kongenial übersetzt er die wahnwitzige Wahrnehmungsverschärfung seiner paranoiden Psychose in grandiose Literatur. Mit der Chronik seiner manisch-depressiven Schübe, die ihn durch Clubs, Konzerthallen und Kliniken treiben, zeichnet Melle wie nebenbei ein Stimmungsbild der popkulturellen Gegenwart."
"Fremde Seele, dunkler Wald",Reinhard Kaiser-Mühlecker,S. Fischer Verlag,2016,Shortlist,"Alexander kehrt von seinem Auslandseinsatz als Soldat in die Heimat zurück. Seine Unruhe treibt ihn bald wieder fort. Sein jüngerer Bruder Jakob führt unterdessen den elterlichen Hof. Als sich sein Freund aufhängt, wird Jakob die Schuldgefühle nicht mehr los. Der Vater fabuliert von phantastischen Geschäftsideen, während er heimlich Stück für Stück des Ackerlandes verkaufen muss. Die Zeit vergeht, und es geschieht scheinbar nichts. Und doch ereignet sich das gesamte Drama der Existenz dieser Menschen, die durch das Land, Verwandtschaft, Gerede und ihre Sehnsüchte miteinander verbunden sind.","Reinhard Kaiser-Mühleckers Figuren sind eingeschlossen in ihre Herkunft, in ihre Sprache. Es gibt kein Entkommen aus der eigenen Vergangenheit, und der Drang, aus der Gegenwart zu entfliehen, wird von der Alternativlosigkeit der Zustände absorbiert. Sie suchen nach Erlösung, ohne es zu wissen. Der äußere Wandel vollzieht sich mit größerer Geschwindigkeit als die innere Bereitschaft dafür. Das erzeugt Hilflosigkeit, Stummheit. Wie Kaiser-Mühlecker daraus auf eine zutiefst österreichische Art und Weise Literatur entstehen lässt, ist virtuos."
Hool,Philipp Winkler,Aufbau-Verlag,2016,Shortlist,"Jeder Mensch hat zwei Familien. Die, in die er hineingeboren wird, und die, für die er sich entscheidet. HOOL ist die Geschichte von Heiko Kolbe und seinen Blutsbrüdern, den Hooligans. Philipp Winkler erzählt vom großen Herzen eines harten Jungen, von einem, der sich durchboxt, um das zu schützen, was ihm heilig ist: Seine Jungs, die besten Jahre, ihr Vermächtnis.","Heiko Kolbe ist ein Held, wie es ihn so in der Literatur noch nicht gab. Er stammt aus zerrütteten Verhältnissen, hat aber eine Ersatzfamilie: eine unbedingt an die reinigende Kraft der Klopperei glaubende Schlägergang. Heiko ist Hooligan. Fußball? Unwichtig. Wichtig ist die körperliche Triebabfuhr, der Zusammenhalt der Gruppe, die Verlässlichkeit, die ungeschriebenen Regeln der Keile. Philipp Winkler schreibt in eindringlichen Szenen von der Lebens- und Adrenalingier der „Hools“ und von einer Kultur der Gewalt, in der Außenseiter ihre Sprache finden. Mit seinem krachenden Debüt gelingt Winkler ein Milieuroman, der nichts verherrlicht, der hart ist, traurig und manchmal auch komisch."
Skizze eines Sommers,André Kubiczek,Rowohlt Berlin,2016,Shortlist,"1985, Potsdam, große Ferien. Doch der sechzehnjährige René bleibt dieses Jahr zu Hause. Die Mutter ist tot, der Vater in der Schweiz; er lässt René tausend Mark da, die er brüderlich mit seinen Freunden Dirk, Michael und Mario teilt. Dies ist, und das spüren sie alle vier, ein Sommer, wie es ihn nie wieder geben wird für sie. Die Jungs streifen durch die heiße, urlaubsleere Stadt und sitzen in Cafés herum, während sie darum wetteifern, besonders geistreich zu sein. Bei alledem geht es doch vor allem um eines: darum, das richtige Mädchen zu finden.","Skizze eines Sommers ist DDR-Spätzeit-Roman und Zeitpanorama – in Szene gesetzt mit den Mitteln des Jugendromans für Erwachsene. Mit dem Wissen des Gereiften liest man von den Nöten des Jungen. Der Jugend wohnt ein Zauber inne, der sich später nie mehr einstellt. Wir erfahren nebenbei von zwei Gesellschaftsschichten in der damaligen DDR: die Privilegierten und die Einfachen. Der Protagonist erzählt so unschuldig, und genauso ist auch die Erzählhaltung. Eine leicht erzählte Coming-of-Age-Geschichte mit wunderbar gezeichneten Charakteren. Ein schönes Buch voller Witz und Tiefe, das man mit Genuss liest."
Die Hauptstadt,Robert Menasse,Suhrkamp Verlag,2017,Winner,"Beamtin Fenia Xenopoulou soll das Image der Europäischen Kommission aufpolieren. Sie beauftragt den Referenten Martin Susman, eine Idee zu entwickeln. Die Idee weckt ein Gespenst aus der Geschichte, das für Unruhe in den EU-Institutionen sorgt. Kommissar Brunfaut muss aus politischen Gründen einen Mordfall auf sich beruhen lassen. Alois Erhart, Emeritus der Volkswirtschaft, soll in einem Think-Tank zur Zukunft Europas Worte sprechen, die seine letzten sein könnten. Und was macht Brüssel? Es sucht einen Namen – für das Schwein, das durch die Straßen läuft.","Robert Menasse verwebt Zeiten, Nationen und Institutionen zu einer einzigartigen Panoramaaufnahme von Europa – kriminalistisch angetrieben, philosophisch durchdrungen und dabei immer grundironisch. Ganz in der Tradition von Balzacs Vorstellung kritischer Zeitgenossenschaft ist „Die Hauptstadt“ ein Roman, der alles über unsere Zeit enthält, ohne je zeitgeistig zu werden."
Außer sich,,Suhrkamp Verlag,2017,Shortlist,"Sie sind zu zweit, von Anfang an, die Zwillinge Alissa und Anton. In der Zweizimmerwohnung im Moskau der postsowjetischen Jahre verkrallen sie sich in die Locken des anderen, wenn die Eltern aufeinander losgehen. Später, in der westdeutschen Provinz, streunen sie durch die Flure des Asylheims. Und noch später verschwindet Anton spurlos. Irgendwann kommt eine Postkarte aus Istanbul – ohne Text, ohne Absender. Alissa macht sich auf die Suche – nach dem verschollenen Bruder, aber vor allem nach einem Gefühl von Zugehörigkeit jenseits von Vaterland, Muttersprache oder Geschlecht.","Ein Debütroman mit großer sprachlicher und dramaturgischer Kraft: Vom postsowjetischen Moskau über ein Asylheim in der westdeutschen Provinz bis in ins heutige Istanbul, erzählt Sasha Marianna Salzmann von den Umbrüchen und der Verbundenheit der Flüchtlingsfamilie Tschepanow. Vor allem erzählt sie aber sicher, perspektivenreich, humorvoll und mit großer Unbedingtheit von der jungen Generation dieser Heimat-Wanderer, die um die eigene Identität kämpft: sprachlich, politisch und sexuell. Für die persönlichen Träume dieser weltumspannenden Generation dekliniert sie das Scheitern an der Realität mit einem faszinierend eigenen Ton wieder neu. Europa wird in diesem Buch größer, es wird aber noch keine Heimat."
Das Floß der Medusa,Franzobel,Paul Zsolnay Verlag,2017,Shortlist,"18. Juli 1816: Vor der Westküste von Afrika entdeckt der Kapitän der Argus ein etwa zwanzig Meter langes Floß. Was er darauf sieht, lässt ihm das Blut in den Adern gefrieren: hohle Augen, ausgedörrte Lippen, verbrannte Haut voller Wunden und Blasen … Die ausgemergelten Gestalten sind die letzten 15 von ursprünglich 147 Menschen, die nach dem Untergang der Fregatte Medusa zwei Wochen auf offener See überlebt haben. Da es in den Rettungsbooten zu wenige Plätze gab, wurden sie einfach ausgesetzt. Aus der Perspektive des Küchenjungen Victor wird erzählt, wie es zu dieser Tragödie kommen konnte.","„Wo es kein Brot gibt, gibt es kein Gesetz mehr.“ Wie einfach ist dieser Satz. Und wie bedrückend wahr ist er. Franzobel hat uns mit seinem Roman eine alte Geschichte aufgetischt, die sich vor 200 Jahren zugetragen hat. Warum sollen wir diese Geschichte heute noch lesen? Franzobel schreibt uns dies ins Gedächtnis: Wir alle fahren gemeinsam auf dieser Fregatte und kämpfen gemeinsam auf dem Floß der Medusa ums Überleben. Denn – wie gesagt – da, wo es kein Brot gibt, wird es auch kein Gesetz mehr geben. Das ist bis heute gültig. Der Roman ist also auch eine kleine, ungeheuerliche Menschheitsgeschichte auf gerade einmal knapp 600 spannenden Seiten."
Die Kieferninseln,Marion Poschmann,Suhrkamp Verlag,2017,Shortlist,"Gilbert Silvester, Privatdozent und Bartforscher, steht unter Schock. Letzte Nacht hat er geträumt, dass seine Frau ihn betrügt. In einer absurden Kurzschlusshandlung verlässt er sie, steigt ins erstbeste Flugzeug und reist nach Japan, um Abstand zu gewinnen. Dort fallen ihm die Reisebeschreibungen des klassischen Dichters Bashō in die Hände, und plötzlich hat er ein Ziel: Wie die alten Wandermönche möchte auch er den Mond über den Kieferninseln sehen. Aber noch vor dem Start trifft er auf den Studenten Yosa, der mit einer ganz anderen Reiselektüre unterwegs ist, dem Complete Manual of Suicide.","Mit der Intensität eines Haikus setzt Marion Poschmann ein unvergessliches Figurenpaar in die literarische Landschaft. Wie die beiden mit Matsuo Bashō und Selbstmordanleitung den Großstadttrubel und mythische Gefilde durchstreifen, ist pure Lesefreude! Der Roman ist eine Lebenswanderung, in der zwei konträre Charaktere mit gegensätzlichen Zielen ihr Selbst entfalten und ihrer Berufung entgegenlaufen. Jedes augenscheinlich noch so unbedeutende Detail wird Poesie. Poschmanns Perspektivwechsel zwischen Weitwinkel und Zoom, der inneren und der äußeren Welt erzeugen Tempo und subtile Spannung. Mit der Wanderung auf Bashōs Spuren schlägt sie eine Brücke über die Zeiten. Gekonnt, erfrischend locker, tiefenscharf."
